,Date,Code,GMS
0,2014-01-01,CNY,18509.82694852074
1,2014-02-01,CNY,18426.406197668133
2,2014-03-01,CNY,18701.274967234865
3,2014-04-01,CNY,18731.156294677905
4,2014-05-01,CNY,18971.727492484257
5,2014-06-01,CNY,19523.86489305591
6,2014-07-01,CNY,19348.4787552244
7,2014-08-01,CNY,19485.28526405143
8,2014-09-01,CNY,19571.270920825766
9,2014-10-01,CNY,19604.460885471297
10,2014-11-01,CNY,19678.285627865975
11,2014-12-01,CNY,19831.78722026327
12,2015-01-01,CNY,19938.646465605438
13,2015-02-01,CNY,20129.708785855055
14,2015-03-01,CNY,20624.06463817967
15,2015-04-01,CNY,20717.53869016407
16,2015-05-01,CNY,21151.31112632419
17,2015-06-01,CNY,21562.561923409703
18,2015-07-01,CNY,21792.327274131727
19,2015-08-01,CNY,21270.77969683811
20,2015-09-01,CNY,21385.592538944948
21,2015-10-01,CNY,21517.122609777514
22,2015-11-01,CNY,21484.04668585952
23,2015-12-01,CNY,21440.241447697506
24,2016-01-01,CNY,21535.922742738006
25,2016-02-01,CNY,21752.499347951936
26,2016-03-01,CNY,22410.38551623111
27,2016-04-01,CNY,22315.313651904686
28,2016-05-01,CNY,22203.0734962039
29,2016-06-01,CNY,22417.498368150435
30,2016-07-01,CNY,22473.45270939982
31,2016-08-01,CNY,22627.97719343032
32,2016-09-01,CNY,22739.146765133963
33,2016-10-01,CNY,22432.81452566588
34,2016-11-01,CNY,22232.690692260374
35,2016-12-01,CNY,22325.910302122607
36,2017-01-01,CNY,23037.137836092978
37,2017-02-01,CNY,23154.145347867834
38,2017-03-01,CNY,23360.675923318435
39,2017-04-01,CNY,23279.294793619654
40,2017-05-01,CNY,23638.95161040129
41,2017-06-01,CNY,24184.200381619856
42,2017-07-01,CNY,24336.21675522333
43,2017-08-01,CNY,25087.61537662814
44,2017-09-01,CNY,25005.49234050671
45,2017-10-01,CNY,25064.448401315654
46,2017-11-01,CNY,25407.509373829853
47,2017-12-01,CNY,25978.870793645874
48,2018-01-01,CNY,27383.96595141299
49,2018-02-01,CNY,27324.558512057974
50,2018-03-01,CNY,27737.86790919512
51,2018-04-01,CNY,27441.157366806194
52,2018-05-01,CNY,27195.00240577879
53,2018-06-01,CNY,26751.809945472047
54,2018-07-01,CNY,26071.850651618777
55,2018-08-01,CNY,26186.92677335614
56,2018-09-01,CNY,26229.30406476351
57,2018-10-01,CNY,25740.23964876147
58,2018-11-01,CNY,26054.958531727745
59,2018-12-01,CNY,26556.924604289343
60,2019-01-01,CNY,27846.45729494732
61,2019-02-01,CNY,27897.045343028276
62,2019-03-01,CNY,28149.34894778407
63,2019-04-01,CNY,27984.047148006786
64,2019-05-01,CNY,27387.756397177083
65,2019-06-01,CNY,27980.43801037031
66,2019-07-01,CNY,27880.59988520632
67,2019-08-01,CNY,27044.472047815136
68,2019-09-01,CNY,27309.920635604343
69,2019-10-01,CNY,27639.50927785904
70,2019-11-01,CNY,27890.513851450367
71,2019-12-01,CNY,28527.97306957674
72,2020-01-01,CNY,29164.663170742264
73,2020-02-01,CNY,29045.451474528418
74,2020-03-01,CNY,29381.61125280456
75,2020-04-01,CNY,29643.790425707364
76,2020-05-01,CNY,29425.476562591564
77,2020-06-01,CNY,30216.532882919768
78,2020-07-01,CNY,30471.640476235392
79,2020-08-01,CNY,31200.607035316374
80,2020-09-01,CNY,31867.879377294255
81,2020-10-01,CNY,32127.556631954783
82,2020-11-01,CNY,33014.66411192496
83,2020-12-01,CNY,33474.62500985105
84,2021-01-01,CNY,34429.28657266469
85,2021-02-01,CNY,34512.47523257773
86,2021-03-01,CNY,34741.23319744167
87,2021-04-01,CNY,34938.692200492675
88,2021-05-01,CNY,35722.4129617446
89,2021-06-01,CNY,35894.64197532235
90,2021-07-01,CNY,35628.7590163601
91,2021-08-01,CNY,35789.726793054666
92,2021-09-01,CNY,36268.537984342205
93,2021-10-01,CNY,36470.01185758527
94,2021-11-01,CNY,37019.21321651134
95,2021-12-01,CNY,37491.105287663784
96,2022-01-01,CNY,38215.78044476469
97,2022-02-01,CNY,38696.072030360374
98,2022-03-01,CNY,39396.621013404845
99,2022-04-01,CNY,37825.687317828146
100,2022-05-01,CNY,37871.14172239356
101,2022-06-01,CNY,38533.74235866863
102,2022-07-01,CNY,38226.59170828133
103,2022-08-01,CNY,37662.105155736645
104,2022-09-01,CNY,36910.980289124906
105,2022-10-01,CNY,35779.14871129548
106,2022-11-01,CNY,37391.897281141275
107,2022-12-01,CNY,38625.0687995569
108,2023-01-01,CNY,40364.25967649167
109,2023-02-01,CNY,39738.801218152716
110,2023-03-01,CNY,40976.078777151604
111,2023-04-01,CNY,40631.21851589802
112,2023-05-01,CNY,39659.49557419517
113,2023-06-01,CNY,39612.59350564913
114,2023-07-01,CNY,40167.927579141855
115,2023-08-01,CNY,39389.19232369378
116,2023-09-01,CNY,39711.80368552326
117,2023-10-01,CNY,39394.21804750058
118,2023-11-01,CNY,41098.80808933155
119,2023-12-01,CNY,41289.43488611425
120,2024-01-01,CNY,41908.95288767023
121,2024-02-01,CNY,41673.454936848895
122,2024-03-01,CNY,42207.80431819789
123,2014-01-01,USD,11101.599609375
124,2014-02-01,USD,11153.400390625
125,2014-03-01,USD,11278.400390625
126,2014-04-01,USD,11331.599609375
127,2014-05-01,USD,11274.7998046875
128,2014-06-01,USD,11336.7998046875
129,2014-07-01,USD,11391.7998046875
130,2014-08-01,USD,11422.7001953125
131,2014-09-01,USD,11470.599609375
132,2014-10-01,USD,11538.599609375
133,2014-11-01,USD,11615.0
134,2014-12-01,USD,11760.0
135,2015-01-01,USD,11759.0
136,2015-02-01,USD,11847.099609375
137,2015-03-01,USD,11956.7001953125
138,2015-04-01,USD,12004.7001953125
139,2015-05-01,USD,11907.900390625
140,2015-06-01,USD,11962.5
141,2015-07-01,USD,12012.900390625
142,2015-08-01,USD,12070.400390625
143,2015-09-01,USD,12138.2001953125
144,2015-10-01,USD,12171.5
145,2015-11-01,USD,12297.900390625
146,2015-12-01,USD,12427.2998046875
147,2016-01-01,USD,12478.400390625
148,2016-02-01,USD,12517.099609375
149,2016-03-01,USD,12684.7998046875
150,2016-04-01,USD,12778.599609375
151,2016-05-01,USD,12708.400390625
152,2016-06-01,USD,12789.0
153,2016-07-01,USD,12850.099609375
154,2016-08-01,USD,12946.7001953125
155,2016-09-01,USD,13016.2001953125
156,2016-10-01,USD,13079.400390625
157,2016-11-01,USD,13191.7998046875
158,2016-12-01,USD,13299.900390625
159,2017-01-01,USD,13281.599609375
160,2017-02-01,USD,13305.599609375
161,2017-03-01,USD,13491.7001953125
162,2017-04-01,USD,13565.0
163,2017-05-01,USD,13474.099609375
164,2017-06-01,USD,13522.099609375
165,2017-07-01,USD,13584.400390625
166,2017-08-01,USD,13653.7001953125
167,2017-09-01,USD,13705.5
168,2017-10-01,USD,13750.7001953125
169,2017-11-01,USD,13819.900390625
170,2017-12-01,USD,13945.0
171,2018-01-01,USD,13863.099609375
172,2018-02-01,USD,13849.099609375
173,2018-03-01,USD,14031.0
174,2018-04-01,USD,14069.5
175,2018-05-01,USD,13980.400390625
176,2018-06-01,USD,14074.7001953125
177,2018-07-01,USD,14109.599609375
178,2018-08-01,USD,14164.900390625
179,2018-09-01,USD,14199.5
180,2018-10-01,USD,14201.400390625
181,2018-11-01,USD,14255.099609375
182,2018-12-01,USD,14448.7998046875
183,2019-01-01,USD,14423.7998046875
184,2019-02-01,USD,14401.900390625
185,2019-03-01,USD,14572.5
186,2019-04-01,USD,14623.0
187,2019-05-01,USD,14575.0
188,2019-06-01,USD,14734.7998046875
189,2019-07-01,USD,14814.400390625
190,2019-08-01,USD,14896.099609375
191,2019-09-01,USD,14986.7998046875
192,2019-10-01,USD,15112.2001953125
193,2019-11-01,USD,15259.400390625
194,2019-12-01,USD,15412.5
195,2020-01-01,USD,15397.099609375
196,2020-02-01,USD,15382.2998046875
197,2020-03-01,USD,16051.5
198,2020-04-01,USD,17097.69921875
199,2020-05-01,USD,17762.5
200,2020-06-01,USD,18099.099609375
201,2020-07-01,USD,18248.099609375
202,2020-08-01,USD,18315.099609375
203,2020-09-01,USD,18538.0
204,2020-10-01,USD,18681.5
205,2020-11-01,USD,18968.69921875
206,2020-12-01,USD,19233.0
207,2021-01-01,USD,19355.400390625
208,2021-02-01,USD,19503.0
209,2021-03-01,USD,19921.69921875
210,2021-04-01,USD,20244.80078125
211,2021-05-01,USD,20289.599609375
212,2021-06-01,USD,20410.19921875
213,2021-07-01,USD,20561.69921875
214,2021-08-01,USD,20753.19921875
215,2021-09-01,USD,20926.599609375
216,2021-10-01,USD,21092.69921875
217,2021-11-01,USD,21326.900390625
218,2021-12-01,USD,21649.5
219,2022-01-01,USD,21632.0
220,2022-02-01,USD,21585.19921875
221,2022-03-01,USD,21860.69921875
222,2022-04-01,USD,21851.0
223,2022-05-01,USD,21549.69921875
224,2022-06-01,USD,21577.0
225,2022-07-01,USD,21572.30078125
226,2022-08-01,USD,21538.0
227,2022-09-01,USD,21497.69921875
228,2022-10-01,USD,21409.0
229,2022-11-01,USD,21409.400390625
230,2022-12-01,USD,21436.30078125
231,2023-01-01,USD,21292.0
232,2023-02-01,USD,21137.80078125
233,2023-03-01,USD,21041.69921875
234,2023-04-01,USD,20855.5
235,2023-05-01,USD,20719.69921875
236,2023-06-01,USD,20752.900390625
237,2023-07-01,USD,20728.19921875
238,2023-08-01,USD,20697.099609375
239,2023-09-01,USD,20669.69921875
240,2023-10-01,USD,20629.30078125
241,2023-11-01,USD,20703.099609375
242,2023-12-01,USD,20857.80078125
243,2024-01-01,USD,20825.599609375
244,2024-02-01,USD,20751.900390625
245,2024-03-01,USD,20982.19921875
246,2014-01-01,EUR,13318.053190638
247,2014-02-01,EUR,13657.60017378
248,2014-03-01,EUR,13625.864835827
249,2014-04-01,EUR,13702.233543658
250,2014-05-01,EUR,13553.508275999999
251,2014-06-01,EUR,13657.251701592
252,2014-07-01,EUR,13398.482125659997
253,2014-08-01,EUR,13200.908821919998
254,2014-09-01,EUR,12753.533273571
255,2014-10-01,EUR,12679.464769118002
256,2014-11-01,EUR,12682.359202836
257,2014-12-01,EUR,12493.997981733999
258,2015-01-01,EUR,11744.023149825
259,2015-02-01,EUR,11686.489255044999
260,2015-03-01,EUR,11249.562148656001
261,2015-04-01,EUR,11824.39235354
262,2015-05-01,EUR,11592.58899456
263,2015-06-01,EUR,11785.49869056
264,2015-07-01,EUR,11709.975146924999
265,2015-08-01,EUR,11961.980102268
266,2015-09-01,EUR,11945.641382358
267,2015-10-01,EUR,11864.618795736
268,2015-11-01,EUR,11455.828156551997
269,2015-12-01,EUR,11773.474565308
270,2016-01-01,EUR,11817.627186758
271,2016-02-01,EUR,11944.40612975
272,2016-03-01,EUR,12503.24986542
273,2016-04-01,EUR,12638.221409675
274,2016-05-01,EUR,12339.317435322
275,2016-06-01,EUR,12341.750358684001
276,2016-07-01,EUR,12488.06060775
277,2016-08-01,EUR,12498.250969412002
278,2016-09-01,EUR,12637.190765925
279,2016-10-01,EUR,12363.041286360001
280,2016-11-01,EUR,12010.528547549999
281,2016-12-01,EUR,11976.050880192
282,2017-01-01,EUR,12362.660657269002
283,2017-02-01,EUR,12147.792521067002
284,2017-03-01,EUR,12354.250129649998
285,2017-04-01,EUR,12633.634322341999
286,2017-05-01,EUR,13048.456408053002
287,2017-06-01,EUR,13320.811327934
288,2017-07-01,EUR,13799.469266380001
289,2017-08-01,EUR,13982.208287108999
290,2017-09-01,EUR,13914.045950464002
291,2017-10-01,EUR,13758.063968465998
292,2017-11-01,EUR,14101.132232224
293,2017-12-01,EUR,14231.255653412001
294,2018-01-01,EUR,14786.874842992
295,2018-02-01,EUR,14540.946973831999
296,2018-03-01,EUR,14721.709681524999
297,2018-04-01,EUR,14495.790601789
298,2018-05-01,EUR,14111.856196206001
299,2018-06-01,EUR,14204.328414796
300,2018-07-01,EUR,14183.514018912001
301,2018-08-01,EUR,14126.024526261
302,2018-09-01,EUR,14154.161148390001
303,2018-10-01,EUR,13870.649921872
304,2018-11-01,EUR,13929.480113640002
305,2018-12-01,EUR,14216.656167
306,2019-01-01,EUR,14195.143103217999
307,2019-02-01,EUR,14166.869954391997
308,2019-03-01,EUR,14071.97546253
309,2019-04-01,EUR,14140.8749928
310,2019-05-01,EUR,14193.37018707
311,2019-06-01,EUR,14457.994310088
312,2019-07-01,EUR,14148.730678368
313,2019-08-01,EUR,14182.943584748999
314,2019-09-01,EUR,14076.12867672
315,2019-10-01,EUR,14471.706172552002
316,2019-11-01,EUR,14336.81678
317,2019-12-01,EUR,14571.642690228
318,2020-01-01,EUR,14486.094303490001
319,2020-02-01,EUR,14494.521263600001
320,2020-03-01,EUR,14865.19300763
321,2020-04-01,EUR,14933.777777604002
322,2020-05-01,EUR,15354.50359366
323,2020-06-01,EUR,15630.03456672
324,2020-07-01,EUR,16475.650535454
325,2020-08-01,EUR,16736.334683064004
326,2020-09-01,EUR,16587.909835691
327,2020-10-01,EUR,16639.002335250003
328,2020-11-01,EUR,17131.891416360002
329,2020-12-01,EUR,17638.77835075
330,2021-01-01,EUR,17692.529940630997
331,2021-02-01,EUR,17735.428080544003
332,2021-03-01,EUR,17301.336134944
333,2021-04-01,EUR,17806.4685675
334,2021-05-01,EUR,18240.24759135
335,2021-06-01,EUR,17774.245201740003
336,2021-07-01,EUR,17922.317128400002
337,2021-08-01,EUR,17928.731606355
338,2021-09-01,EUR,17824.558343265
339,2021-10-01,EUR,17763.682137214
340,2021-11-01,EUR,17473.185126012
341,2021-12-01,EUR,17629.942427905
342,2022-01-01,EUR,17384.449974554
343,2022-02-01,EUR,17557.013803489997
344,2022-03-01,EUR,17413.621744365002
345,2022-04-01,EUR,16667.255527496
346,2022-05-01,EUR,17022.599141184004
347,2022-06-01,EUR,16699.404973095003
348,2022-07-01,EUR,16323.396347807999
349,2022-08-01,EUR,16180.6276275
350,2022-09-01,EUR,15879.661870086
351,2022-10-01,EUR,15945.776387009999
352,2022-11-01,EUR,16814.838375784002
353,2022-12-01,EUR,17236.16028666
354,2023-01-01,EUR,17481.447834576
355,2023-02-01,EUR,16995.18422322
356,2023-03-01,EUR,17449.09758258
357,2023-04-01,EUR,17615.549925559997
358,2023-05-01,EUR,17116.191575523
359,2023-06-01,EUR,17378.592166331004
360,2023-07-01,EUR,17531.336451874
361,2023-08-01,EUR,17409.5017156
362,2023-09-01,EUR,16932.244436345
363,2023-10-01,EUR,16895.580829540002
364,2023-11-01,EUR,17429.494272554
365,2023-12-01,EUR,17836.508239968
366,2024-01-01,EUR,17385.52821174
367,2024-02-01,EUR,17415.971797212
368,2024-03-01,EUR,17472.291231945
369,2014-01-01,JPY,11535.643805249554
370,2014-02-01,JPY,11509.88537544491
371,2014-03-01,JPY,11382.227695831798
372,2014-04-01,JPY,11568.388202700622
373,2014-05-01,JPY,11619.480729292525
374,2014-06-01,JPY,11714.850689118388
375,2014-07-01,JPY,11576.81322715838
376,2014-08-01,JPY,11417.340918794333
377,2014-09-01,JPY,10859.395850309962
378,2014-10-01,JPY,10680.933839345464
379,2014-11-01,JPY,10095.70069934715
380,2014-12-01,JPY,10091.40109863713
381,2015-01-01,JPY,10295.151483551475
382,2015-02-01,JPY,10089.706160467827
383,2015-03-01,JPY,10082.72045718816
384,2015-04-01,JPY,10213.87019021115
385,2015-05-01,JPY,9837.654078400476
386,2015-06-01,JPY,9997.696447644446
387,2015-07-01,JPY,9900.180479520224
388,2015-08-01,JPY,10125.670208219917
389,2015-09-01,JPY,10228.924328351432
390,2015-10-01,JPY,10172.838742765805
391,2015-11-01,JPY,10007.1723637591
392,2015-12-01,JPY,10289.577380487503
393,2016-01-01,JPY,10237.142122109764
394,2016-02-01,JPY,10963.408186551475
395,2016-03-01,JPY,11015.225093762701
396,2016-04-01,JPY,11748.079424660013
397,2016-05-01,JPY,11332.901014838879
398,2016-06-01,JPY,12218.262899900443
399,2016-07-01,JPY,12335.86307105242
400,2016-08-01,JPY,12216.939762463366
401,2016-09-01,JPY,12460.992902354139
402,2016-10-01,JPY,12069.287648745723
403,2016-11-01,JPY,11085.269133874219
404,2016-12-01,JPY,10945.535948076193
405,2017-01-01,JPY,11388.394177454786
406,2017-02-01,JPY,11321.701964028396
407,2017-03-01,JPY,11521.027817018536
408,2017-04-01,JPY,11626.3435867716
409,2017-05-01,JPY,11698.918181729357
410,2017-06-01,JPY,11582.25400025824
411,2017-07-01,JPY,11823.847545350778
412,2017-08-01,JPY,11845.23972507733
413,2017-09-01,JPY,11613.679547843201
414,2017-10-01,JPY,11512.591470933981
415,2017-11-01,JPY,11679.235560980274
416,2017-12-01,JPY,11708.722113691287
417,2018-01-01,JPY,12093.65499604643
418,2018-02-01,JPY,12333.707049858433
419,2018-03-01,JPY,12394.700893387298
420,2018-04-01,JPY,12160.136111564634
421,2018-05-01,JPY,12241.0874699729
422,2018-06-01,JPY,12072.349340226961
423,2018-07-01,JPY,11965.994358511014
424,2018-08-01,JPY,12040.78508219569
425,2018-09-01,JPY,11756.407352069999
426,2018-10-01,JPY,11863.492058232043
427,2018-11-01,JPY,11822.913746987579
428,2018-12-01,JPY,12285.934633377992
429,2019-01-01,JPY,12381.42577214775
430,2019-02-01,JPY,12054.242551412028
431,2019-03-01,JPY,12108.89788356137
432,2019-04-01,JPY,12178.967294475548
433,2019-05-01,JPY,12563.085101897834
434,2019-06-01,JPY,12562.70314821051
435,2019-07-01,JPY,12526.378760234014
436,2019-08-01,JPY,12819.16654002332
437,2019-09-01,JPY,12616.291238865519
438,2019-10-01,JPY,12632.957940760381
439,2019-11-01,JPY,12519.594860182171
440,2019-12-01,JPY,12662.456613227218
441,2020-01-01,JPY,12715.287680680125
442,2020-02-01,JPY,12708.480229682036
443,2020-03-01,JPY,12827.052487840381
444,2020-04-01,JPY,13028.67719423335
445,2020-05-01,JPY,13155.353719742663
446,2020-06-01,JPY,13357.685200877086
447,2020-07-01,JPY,13722.991322209118
448,2020-08-01,JPY,13772.769135549286
449,2020-09-01,JPY,13894.494839184188
450,2020-10-01,JPY,14018.90282145
451,2020-11-01,JPY,14139.323188840455
452,2020-12-01,JPY,14348.49085064756
453,2021-01-01,JPY,14194.885164269663
454,2021-02-01,JPY,13939.698543144295
455,2021-03-01,JPY,13448.216882153536
456,2021-04-01,JPY,13798.900876681299
457,2021-05-01,JPY,13830.753727544263
458,2021-06-01,JPY,13656.339967145077
459,2021-07-01,JPY,13852.9428988425
460,2021-08-01,JPY,13808.994029274554
461,2021-09-01,JPY,13628.614597028334
462,2021-10-01,JPY,13355.979932857737
463,2021-11-01,JPY,13480.595980815393
464,2021-12-01,JPY,13300.123434419518
465,2022-01-01,JPY,13317.733979621149
466,2022-02-01,JPY,13311.732184450424
467,2022-03-01,JPY,12614.477842896875
